CustomerID,TransactionDate,TransactionAmount
C-1102,2025-03-11,21.64
C-1466,2024-08-02,64.57
C-1330,2025-04-03,63.37
C-1663,2024-05-10,85.32
C-1661,2024-11-04,37.57
C-1276,2024-06-09,39.24
C-1459,2024-11-09,33.38
C-1560,2025-04-19,83.51
C-1058,2025-05-25,42.16
C-1975,2026-02-21,32.73
C-1189,2025-11-17,10.71
C-1243,2025-05-19,99.61
C-1130,2025-04-29,20.47
C-1166,2024-09-30,66.27
C-1387,2025-08-23,36.98
C-1339,2024-04-01,46.25
C-1366,2025-03-30,88.91
C-1034,2024-07-24,66.19
C-1080,2025-07-15,17.05
C-1389,2025-07-19,87.76
C-1105,2026-02-10,61.56
C-1815,2024-09-27,81.45
C-1455,2025-04-06,24.73
C-1337,2024-02-22,7.5
C-1791,2024-08-04,65.31
C-1040,2024-06-05,7.89
C-1014,2024-03-05,53.69
C-1128,2025-10-09,46.74
C-1471,2024-03-03,72.46
C-1674,2025-02-22,81.63
C-1288,2025-01-13,48.79
C-1040,2024-01-28,36.3
C-1134,2024-07-19,9.76
C-1047,2025-05-17,87.99
C-1406,2025-07-27,90.39
C-1871,2025-12-26,28.05
C-1986,2025-06-30,23.87
C-1461,2025-10-04,52.73
C-1768,2024-01-05,99.86
C-1870,2026-03-05,65.15
C-1392,2024-07-25,43.04
C-1460,2025-11-21,53.17
C-1574,2026-01-12,134.01
C-1899,2026-01-03,24.25
C-1484,2025-02-10,81.18
C-1540,2024-02-05,123.62
C-1524,2024-06-08,103.69
C-1795,2025-07-31,79.71
C-1681,2025-07-10,36.69
C-1795,2024-01-28,45.52
C-1619,2025-07-09,83.88
C-1639,2025-05-20,48.71
C-1347,2025-04-17,33.94
C-1376,2024-10-09,45.17
C-1957,2025-09-24,63.88
C-1358,2025-12-10,62.83
C-1455,2025-02-14,12.54
C-1818,2024-08-21,42.38
C-1683,2025-10-25,50.16
C-1607,2025-04-16,67.12
C-1232,2025-11-22,62.73
C-1563,2024-09-24,52.77
C-1509,2025-01-20,32.25
C-1951,2024-03-21,68.72
C-1698,2024-04-22,53.07
C-1854,2026-01-05,65.35
C-1224,2025-01-19,37.76
C-1683,2025-12-30,42.36
C-1671,2025-12-10,78.02
C-1202,2024-07-02,20.51
C-1122,2025-02-04,30.95
C-1883,2025-09-01,96.52
C-1197,2025-05-25,25.28
C-1348,2026-02-09,38.01
C-1659,2026-02-02,8.48
C-1863,2025-12-11,57.06
C-1819,2025-05-03,27.42
C-1337,2025-10-02,101.5
C-1778,2025-04-17,61.17
C-1297,2025-09-02,11.7
C-1262,2026-02-02,6.32
C-1896,2024-10-30,58.57
C-1253,2025-10-13,85.01
C-1008,2024-08-20,59.57
C-1098,2025-10-20,70.66
C-1151,2024-02-23,63.91
C-1119,2025-11-03,34.6
C-1967,2025-02-23,61.97
C-1421,2024-04-13,63.79
C-1860,2024-12-03,33.57
C-1705,2024-06-11,19.26
C-1160,2025-08-02,74.7
C-1800,2025-02-01,89.76
C-1895,2025-01-26,30.38
C-1134,2024-07-13,79.66
C-1459,2025-04-14,111.9
C-1374,2024-01-22,81.36
C-1282,2024-01-27,47.81
C-1225,2024-10-03,137.03
C-1959,2025-04-25,57.81
C-1452,2025-10-20,99.4
C-1511,2024-01-17,66.9
C-1171,2024-08-07,8.5
C-1517,2024-04-08,47.71
C-1891,2026-01-14,51.17
C-1301,2024-06-29,65.25
C-1606,2024-04-08,26.51
C-1160,2024-09-12,37.09
C-1322,2024-05-07,14.76
C-1565,2025-07-23,6.35
C-1322,2025-11-16,61.93
C-1853,2025-10-24,30.73
C-1961,2025-09-30,86.72
C-1784,2024-04-13,56.54
C-1928,2025-01-27,26.23
C-1476,2025-11-12,96.46
C-1758,2025-06-21,64.13
C-1524,2025-05-20,62.72
C-1902,2024-02-05,72.13
C-1511,2025-02-03,89.07
C-1653,2025-04-15,57.05
C-1799,2025-12-27,42.72
C-1958,2024-02-20,124.44
C-1124,2024-05-29,11.02
C-1313,2025-07-23,40.84
C-1443,2025-09-04,87.67
C-1992,2024-09-20,33.54
C-1004,2024-04-12,75.39
C-1195,2026-02-12,56.37
C-1046,2025-10-17,35.45
C-1268,2025-01-04,15.75
C-1656,2024-04-29,60.59
C-1830,2026-02-25,31.22
C-1740,2025-04-18,51.56
C-1116,2026-03-01,108.44
C-1640,2024-02-27,34.68
C-1633,2025-05-27,8.54
C-1117,2025-07-13,44.71
C-1600,2025-05-02,60.52
C-1188,2025-12-04,72.34
C-1446,2025-08-03,15.2
C-1075,2024-06-02,110.31
C-1655,2025-03-10,47.88
C-1217,2025-04-18,111.16
C-1431,2024-12-06,16.15
C-1733,2024-12-22,51.85
C-1022,2026-01-31,101.29
C-1801,2024-06-28,94.7
C-1222,2026-01-31,55.05
C-1324,2025-05-30,77.68
C-1015,2026-03-02,65.32
C-1851,2025-10-25,82.79
C-1907,2025-11-20,23.97
C-1956,2025-11-21,61.13
C-1426,2025-09-04,89.11
C-1167,2024-02-12,68.41
C-1555,2024-10-11,40.41
C-1775,2025-08-27,61.23
C-1921,2025-08-24,17.85
C-1902,2024-07-14,30.26
C-1825,2025-05-15,70.88
C-1375,2025-02-23,49.48
C-1728,2024-10-03,56.52
C-1868,2025-04-01,69.84
C-1919,2024-07-10,103.32
C-1547,2024-04-05,70.84
C-1663,2025-10-24,101.59
C-1216,2026-03-08,41.81
C-1272,2024-03-02,28.7
C-1396,2025-11-29,52.7
C-1018,2024-06-25,42.66
C-1795,2025-12-18,84.52
C-1734,2025-01-18,14.73
C-1143,2024-03-09,55.92
C-1098,2025-01-30,91.15
C-1483,2025-07-18,19.1
C-1150,2024-05-23,34.03
C-1222,2025-09-25,54.74
C-1132,2024-06-11,45.73
C-1657,2026-01-20,79.11
C-1587,2024-01-09,73.42
C-1252,2024-08-17,95.74
